,2024-09-30,2024-03-31,2023-09-30
Ordinary Shares Number,2349591262.0,2349591262.0,2349591262.0
Share Issued,2349591262.0,2349591262.0,2349591262.0
Total Debt,16510000000.0,14840000000.0,12720000000.0
Tangible Book Value,50690000000.0,55050000000.0,46460000000.0
Invested Capital,507890000000.0,512310000000.0,504600000000.0
Working Capital,92170000000.0,84480000000.0,77110000000.0
Net Tangible Assets,50690000000.0,55050000000.0,46460000000.0
Capital Lease Obligations,16380000000.0,14710000000.0,11760000000.0
Common Stock Equity,507760000000.0,512180000000.0,503640000000.0
Total Capitalization,507760000000.0,512180000000.0,503640000000.0
Total Equity Gross Minority Interest,509870000000.0,514230000000.0,505850000000.0
Minority Interest,2110000000.0,2050000000.0,2210000000.0
Stockholders Equity,507760000000.0,512180000000.0,503640000000.0
Other Equity Interest,505410000000.0,509830000000.0,501290000000.0
Retained Earnings,,104430000000.0,
Additional Paid In Capital,,403540000000.0,
Capital Stock,2350000000.0,2350000000.0,2350000000.0
Common Stock,2350000000.0,2350000000.0,2350000000.0
Total Liabilities Net Minority Interest,297780000000.0,270760000000.0,272580000000.0
Total Non Current Liabilities Net Minority Interest,154550000000.0,142000000000.0,135640000000.0
Non Current Pension And Other Postretirement Benefit Plans,,3950000000.0,
Tradeand Other Payables Non Current,51540000000.0,42650000000.0,39070000000.0
Non Current Deferred Taxes Liabilities,66320000000.0,65570000000.0,65170000000.0
Long Term Debt And Capital Lease Obligation,12340000000.0,11060000000.0,8620000000.0
Long Term Capital Lease Obligation,12340000000.0,11060000000.0,8620000000.0
Long Term Provisions,17800000000.0,15760000000.0,15080000000.0
Current Liabilities,143230000000.0,128760000000.0,136940000000.0
Other Current Liabilities,8910000000.0,910000000.0,8400000000.0
Current Debt And Capital Lease Obligation,4170000000.0,3780000000.0,4100000000.0
Current Capital Lease Obligation,4040000000.0,3650000000.0,3140000000.0
Current Debt,130000000.0,130000000.0,960000000.0
Current Provisions,2480000000.0,3400000000.0,3240000000.0
Payables,118070000000.0,116260000000.0,110260000000.0
Other Payable,,9120000000.0,
Dividends Payable,,2280000000.0,
Total Tax Payable,3570000000.0,,3920000000.0
Accounts Payable,114500000000.0,104860000000.0,106340000000.0
Total Assets,807650000000.0,784990000000.0,778430000000.0
Total Non Current Assets,572250000000.0,571750000000.0,564380000000.0
Other Non Current Assets,2190000000.0,6080000000.0,2920000000.0
Non Current Prepaid Assets,,3990000000.0,
Non Current Deferred Assets,,10000000.0,
Non Current Deferred Taxes Assets,170000000.0,100000000.0,70000000.0
Investmentin Financial Assets,7440000000.0,460000000.0,7460000000.0
Held To Maturity Securities,,0.0,
Available For Sale Securities,7440000000.0,440000000.0,7460000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,20000000.0,
Long Term Equity Investment,570000000.0,650000000.0,660000000.0
Investments In Other Ventures Under Equity Method,,650000000.0,
Goodwill And Other Intangible Assets,457070000000.0,457130000000.0,457180000000.0
Other Intangible Assets,282410000000.0,282470000000.0,282520000000.0
Goodwill,174660000000.0,174660000000.0,174660000000.0
Net PPE,93420000000.0,90560000000.0,83690000000.0
Accumulated Depreciation,,-53450000000.0,
Gross PPE,93420000000.0,144010000000.0,83690000000.0
Construction In Progress,10220000000.0,10250000000.0,10470000000.0
Other Properties,83200000000.0,14520000000.0,73220000000.0
Machinery Furniture Equipment,,77880000000.0,
Buildings And Improvements,,35180000000.0,
Land And Improvements,,6180000000.0,
Properties,,0.0,
Current Assets,235400000000.0,213240000000.0,214050000000.0
Other Current Assets,11060000000.0,7130000000.0,9100000000.0
Hedging Assets Current,,290000000.0,
Assets Held For Sale Current,670000000.0,120000000.0,120000000.0
Restricted Cash,,2410000000.0,
Prepaid Assets,,4690000000.0,
Inventory,42430000000.0,40220000000.0,35810000000.0
Other Inventories,,1370000000.0,
Finished Goods,,15880000000.0,
Work In Process,,5690000000.0,
Raw Materials,,17280000000.0,
Other Receivables,360000000.0,2490000000.0,310000000.0
Taxes Receivable,,3140000000.0,60000000.0
Accounts Receivable,36780000000.0,29970000000.0,32070000000.0
Allowance For Doubtful Accounts Receivable,,-650000000.0,
Gross Accounts Receivable,,30620000000.0,
Cash Cash Equivalents And Short Term Investments,144100000000.0,129910000000.0,136580000000.0
Other Short Term Investments,90970000000.0,121660000000.0,120070000000.0
Cash And Cash Equivalents,53130000000.0,8250000000.0,16510000000.0
Cash Equivalents,,6330000000.0,
Cash Financial,,1920000000.0,
