,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,1264316926.167755,-42778091.473744,-124726551.431,820608365.019011,-81596516.690856,,
Tax Rate For Calcs,0.249372,0.267363,0.259847,0.250951,0.271988,,
Normalized EBITDA,39280000000.0,40060000000.0,39990000000.0,35170000000.0,38790000000.0,,
Total Unusual Items,5070000000.0,-160000000.0,-480000000.0,3270000000.0,-300000000.0,,
Total Unusual Items Excluding Goodwill,5070000000.0,-160000000.0,-480000000.0,3270000000.0,-300000000.0,,
Net Income From Continuing Operation Net Minority Interest,29840000000.0,25910000000.0,26100000000.0,25580000000.0,25090000000.0,,
Reconciled Depreciation,3410000000.0,3380000000.0,3290000000.0,3200000000.0,3130000000.0,,
Reconciled Cost Of Revenue,77010000000.0,77090000000.0,75450000000.0,83890000000.0,74790000000.0,,
EBITDA,44350000000.0,39900000000.0,39510000000.0,38440000000.0,38490000000.0,,
EBIT,40940000000.0,36520000000.0,36220000000.0,35240000000.0,35360000000.0,,
Net Interest Income,-1120000000.0,-1100000000.0,-930000000.0,4410000000.0,-910000000.0,,
Interest Expense,1120000000.0,1100000000.0,930000000.0,1050000000.0,910000000.0,,
Normalized Income,26034316926.167755,26027221908.526257,26455273448.569,23130608365.019012,25308403483.309143,,
Net Income From Continuing And Discontinued Operation,29840000000.0,25910000000.0,26100000000.0,25580000000.0,25090000000.0,,
Total Expenses,122360000000.0,122740000000.0,121080000000.0,118260000000.0,119410000000.0,,
Diluted Average Shares,2349606299.0,2349048051.0,2349234923.0,,2349250936.0,2350442478.0,
Basic Average Shares,2349606299.0,2349048051.0,2349234923.0,,2349250936.0,2350442478.0,
Diluted EPS,12.7,11.03,11.11,,10.68,11.3,
Basic EPS,12.7,11.03,11.11,,10.68,11.3,
Diluted NI Availto Com Stockholders,29840000000.0,25910000000.0,26100000000.0,25580000000.0,25090000000.0,,
Net Income Common Stockholders,29840000000.0,25910000000.0,26100000000.0,25580000000.0,25090000000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,29840000000.0,25910000000.0,26100000000.0,25580000000.0,25090000000.0,,
Minority Interests,-50000000.0,-40000000.0,-20000000.0,-30000000.0,10000000.0,,
Net Income Including Noncontrolling Interests,29890000000.0,25950000000.0,26120000000.0,25610000000.0,25080000000.0,,
Net Income Discontinuous Operations,,,,,0.0,0.0,0.0
Net Income Continuous Operations,29890000000.0,25950000000.0,26120000000.0,25610000000.0,25080000000.0,,
Tax Provision,9930000000.0,9470000000.0,9170000000.0,8580000000.0,9370000000.0,,
Pretax Income,39820000000.0,35420000000.0,35290000000.0,34190000000.0,34450000000.0,,
Other Non Operating Income Expenses,2320000000.0,2190000000.0,2570000000.0,-5670000000.0,2140000000.0,,
Special Income Charges,5070000000.0,-160000000.0,-480000000.0,780000000.0,-300000000.0,,
Other Special Charges,-50000000.0,,,,,,
Restructuring And Mergern Acquisition,-5020000000.0,,480000000.0,,300000000.0,,370000000.0
Net Non Operating Interest Income Expense,-1120000000.0,-1100000000.0,-930000000.0,4410000000.0,-910000000.0,,
Interest Expense Non Operating,1120000000.0,1100000000.0,930000000.0,1050000000.0,910000000.0,,
Operating Income,33540000000.0,34550000000.0,34150000000.0,32150000000.0,33530000000.0,,
Operating Expense,45350000000.0,45650000000.0,45630000000.0,34370000000.0,44620000000.0,,
Other Operating Expenses,21720000000.0,21010000000.0,20810000000.0,-12480000000.0,20900000000.0,,
Depreciation And Amortization In Income Statement,3410000000.0,3380000000.0,3290000000.0,3200000000.0,3130000000.0,,
Depreciation Income Statement,3410000000.0,3380000000.0,3290000000.0,2950000000.0,3130000000.0,,
Selling General And Administration,15070000000.0,15010000000.0,16810000000.0,36210000000.0,16260000000.0,,
Selling And Marketing Expense,15070000000.0,15010000000.0,16810000000.0,36210000000.0,16260000000.0,,
Gross Profit,78890000000.0,80200000000.0,79780000000.0,66520000000.0,78150000000.0,,
Cost Of Revenue,77010000000.0,77090000000.0,75450000000.0,83890000000.0,74790000000.0,,
Total Revenue,155900000000.0,157290000000.0,155230000000.0,150410000000.0,152940000000.0,,
Operating Revenue,155900000000.0,157290000000.0,155230000000.0,150410000000.0,152940000000.0,,
