,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,10187113.0,10237261.0,10246512.0,10916829.0,11249465.0,,
Ordinary Shares Number,4142082081.0,4141909556.0,4141781963.0,4139950635.0,4139198089.0,,
Share Issued,4152269194.0,4152146817.0,4152028475.0,4150867464.0,4150447554.0,,
Total Debt,667000000.0,756000000.0,740000000.0,1002000000.0,802000000.0,,
Tangible Book Value,8799000000.0,9185000000.0,8901000000.0,9517000000.0,8542000000.0,,
Invested Capital,10307000000.0,10789000000.0,9956000000.0,10559000000.0,9617000000.0,,
Working Capital,5435000000.0,5813000000.0,5432000000.0,6071000000.0,4614000000.0,,
Net Tangible Assets,8799000000.0,9185000000.0,8901000000.0,9517000000.0,8542000000.0,,
Capital Lease Obligations,667000000.0,756000000.0,740000000.0,1002000000.0,802000000.0,,
Common Stock Equity,10307000000.0,10789000000.0,9956000000.0,10559000000.0,9617000000.0,,
Total Capitalization,10307000000.0,10789000000.0,9956000000.0,10559000000.0,9617000000.0,,
Total Equity Gross Minority Interest,10356000000.0,10838000000.0,10003000000.0,10605000000.0,9668000000.0,,
Minority Interest,49000000.0,49000000.0,47000000.0,46000000.0,51000000.0,,
Stockholders Equity,10307000000.0,10789000000.0,9956000000.0,10559000000.0,9617000000.0,,
Other Equity Interest,,,,-4396000000.0,,-4396000000.0,-4278000000.0
Gains Losses Not Affecting Retained Earnings,,,,1624000000.0,,1519000000.0,1440000000.0
Other Equity Adjustments,,,,1624000000.0,,1519000000.0,1440000000.0
Retained Earnings,,,,12557000000.0,,11850000000.0,11175000000.0
Additional Paid In Capital,,,,449000000.0,,422000000.0,407000000.0
Capital Stock,,,,325000000.0,,325000000.0,325000000.0
Common Stock,,,,325000000.0,,325000000.0,325000000.0
Total Liabilities Net Minority Interest,5935000000.0,6090000000.0,7267000000.0,5918000000.0,5938000000.0,,
Total Non Current Liabilities Net Minority Interest,1132000000.0,1219000000.0,1181000000.0,1267000000.0,1260000000.0,,
Other Non Current Liabilities,465000000.0,463000000.0,441000000.0,28000000.0,458000000.0,,
Derivative Product Liabilities,,,,12000000.0,,,
Employee Benefits,,,,31000000.0,,59000000.0,45000000.0
Non Current Pension And Other Postretirement Benefit Plans,,,,19000000.0,,48000000.0,34000000.0
Non Current Accrued Expenses,,,,213000000.0,,229000000.0,187000000.0
Non Current Deferred Liabilities,,,,216000000.0,,133000000.0,145000000.0
Non Current Deferred Revenue,,,,,,9000000.0,9000000.0
Non Current Deferred Taxes Liabilities,,,,216000000.0,,124000000.0,136000000.0
Long Term Debt And Capital Lease Obligation,667000000.0,756000000.0,740000000.0,767000000.0,802000000.0,,
Long Term Capital Lease Obligation,667000000.0,756000000.0,740000000.0,767000000.0,802000000.0,,
Current Liabilities,4803000000.0,4871000000.0,6086000000.0,4651000000.0,4678000000.0,,
Other Current Liabilities,3050000000.0,3210000000.0,4473000000.0,199000000.0,2970000000.0,,
Current Deferred Liabilities,988000000.0,860000000.0,834000000.0,881000000.0,922000000.0,,
Current Deferred Revenue,988000000.0,860000000.0,834000000.0,881000000.0,922000000.0,,
Current Debt And Capital Lease Obligation,,,,235000000.0,,231000000.0,222000000.0
Current Capital Lease Obligation,,,,235000000.0,,231000000.0,222000000.0
Pensionand Other Post Retirement Benefit Plans Current,336000000.0,343000000.0,336000000.0,849000000.0,326000000.0,,
Current Provisions,,,,215000000.0,,205000000.0,187000000.0
Payables And Accrued Expenses,429000000.0,458000000.0,443000000.0,2272000000.0,460000000.0,,
Current Accrued Expenses,,,,986000000.0,,921000000.0,900000000.0
Payables,429000000.0,458000000.0,443000000.0,1286000000.0,460000000.0,,
Dividends Payable,,,,,,,795000000.0
Total Tax Payable,,,,812000000.0,,895000000.0,1068000000.0
Income Tax Payable,,,,430000000.0,,504000000.0,583000000.0
Accounts Payable,429000000.0,458000000.0,443000000.0,474000000.0,460000000.0,,
Total Assets,16291000000.0,16928000000.0,17270000000.0,16523000000.0,15606000000.0,,
Total Non Current Assets,6053000000.0,6244000000.0,5752000000.0,5801000000.0,6314000000.0,,
Other Non Current Assets,956000000.0,912000000.0,874000000.0,,1308000000.0,2000000.0,
Defined Pension Benefit,,,,4000000.0,,4000000.0,4000000.0
Non Current Prepaid Assets,,,,78000000.0,,89000000.0,95000000.0
Non Current Deferred Assets,,,,153000000.0,,216000000.0,237000000.0
Non Current Deferred Taxes Assets,,,,55000000.0,,105000000.0,125000000.0
Non Current Note Receivables,,,,4000000.0,,5000000.0,4000000.0
Non Current Accounts Receivable,301000000.0,255000000.0,198000000.0,659000000.0,202000000.0,,
Investments And Advances,1105000000.0,1189000000.0,1340000000.0,1538000000.0,1354000000.0,,
Other Investments,,,,0.0,,1000000.0,1000000.0
