,Value
address1,TCS House
address2,"Raveline Street Corner of Hazarimal Somani Marg Near Sterling Cinema, Fort"
city,Mumbai
zip,400 001
country,India
phone,91 22 6778 9999
fax,91 22 6778 9000
website,https://www.tcs.com
industry,Information Technology Services
industryKey,information-technology-services
industryDisp,Information Technology Services
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services in the Americas, Europe, India, and internationally. It operates through Banking, Financial Services and Insurance; Manufacturing; Consumer Business; Communication, Media and Technology; Life Sciences and Healthcare; and Others segments. The company provides TCS ADD, a suite of technology platforms for clinical research and drug development; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, as-a-service that helps financial institutions and insurance firms; TCS CHROMA, a cloud-based workforce management solution; customer intelligence and insight solutions; TCS ERP on Cloud, a hosted ERP applications and services platform; TCS HOBS, a cloud-native catalog-centric platform for personalization of products and processes; and ignio, an autonomous enterprise software. It also offers TCS Intelligent Urban Exchange for smart cities and enterprises solution; TCS OmniStore, a retail commerce platform; TCS Optumera, a retail-connected strategic intelligence platform; TCS TAP, a procurement offering; TCS MasterCraft, a platform of intelligent automation products; Quartz- the Smart Ledgers, a blockchain solution; Jile, an enterprise agile planning and delivery tool; TCS iON, an IT-as-a-Service model that provides business solutions; and TCS TwinX, an enterprise digital twin platform. In addition, the company offers cloud, cognitive business, consulting, cybersecurity, data and analytics, enterprise solutions, Internet of Things and digital engineering, TCS interactive, and sustainability services. It serves banking; capital markets; consumer goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high technology; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited."
fullTimeEmployees,601546
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. K.  Krithivasan B.E, M.Tech.', 'age': 60, 'title': 'MD, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 256140000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Samir  Seksaria', 'title': 'Chief Financial Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Harrick  Vin', 'title': 'Chief Technology Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sukanya  Sadasivan B.E', 'age': 56, 'title': 'Senior VP & Chief Information Officer', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kedar  Shirali', 'title': 'Head of Global Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Madhav  Anchan', 'title': 'General Counsel Legal', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yashaswin  Sheth', 'title': 'Company Secretary & Compliance Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vivek  Padiyar', 'title': 'Head of Corporate Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Abhinav  Kumar', 'title': 'Chief Marketing Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Milind  Lakkad M.Tech.', 'age': 60, 'title': 'Executive VP & Chief Human Resources Officer', 'yearBorn': 1964, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,1
boardRisk,6
compensationRisk,1
shareHolderRightsRisk,8
overallRisk,3
governanceEpochDate,1740787200
compensationAsOfEpochDate,1735603200
irWebsite,http://www.tcs.com/investors/Pages/default.aspx
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,3578.1
open,3600.0
dayLow,3566.6
dayHigh,3649.75
regularMarketPreviousClose,3578.1
regularMarketOpen,3600.0
regularMarketDayLow,3566.6
regularMarketDayHigh,3649.75
dividendRate,58.0
dividendYield,1.62
exDividendDate,1737072000
payoutRatio,0.42310002
fiveYearAvgDividendYield,1.27
beta,0.477
trailingPE,26.903032
forwardPE,23.461018
volume,1833380
regularMarketVolume,1833380
averageVolume,2338962
averageVolume10days,2290723
averageDailyVolume10Day,2290723
bid,0.0
ask,0.0
bidSize,0
askSize,0
marketCap,13129867067392
fiftyTwoWeekLow,3457.0
fiftyTwoWeekHigh,4592.25
priceToSalesTrailing12Months,5.20857
fiftyDayAverage,3846.328
twoHundredDayAverage,4128.815
trailingAnnualDividendRate,58.0
trailingAnnualDividendYield,0.01620972
currency,INR
tradeable,False
enterpriseValue,12458178641920
profitMargins,0.19344
floatShares,1002644413
sharesOutstanding,3618089984
heldPercentInsiders,0.71766
heldPercentInstitutions,0.16848
impliedSharesOutstanding,3618089984
bookValue,302.613
priceToBook,11.992049
lastFiscalYearEnd,1711843200
nextFiscalYearEnd,1743379200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,0.12
netIncomeToCommon,487630012416
trailingEps,134.89
forwardEps,154.68
lastSplitFactor,2:1
lastSplitDate,1527724800
enterpriseToRevenue,4.942
enterpriseToEbitda,18.937
52WeekChange,-0.085095525
SandP52WeekChange,0.086116076
lastDividendValue,66.0
lastDividendDate,1737072000
quoteType,EQUITY
currentPrice,3628.95
targetHighPrice,5620.0
targetLowPrice,3205.0
targetMeanPrice,4383.2856
targetMedianPrice,4500.0
recommendationMean,2.16667
recommendationKey,buy
numberOfAnalystOpinions,42
