,2024-09-30,2023-09-30,2023-06-30
Free Cash Flow,100190000000.0,101800000000.0,109890000000.0
Capital Expenditure,-8120000000.0,-4680000000.0,-3640000000.0
End Cash Position,81550000000.0,75440000000.0,156220000000.0
Beginning Cash Position,76690000000.0,156220000000.0,71230000000.0
Effect Of Exchange Rate Changes,2330000000.0,0.0,-280000000.0
Changes In Cash,2530000000.0,-80780000000.0,85270000000.0
Financing Cash Flow,-44020000000.0,-128140000000.0,-4700000000.0
Interest Paid Cff,,-1540000000.0,-1580000000.0
Cash Dividends Paid,-36180000000.0,,
Investing Cash Flow,-61760000000.0,-59120000000.0,-23560000000.0
Net Other Investing Changes,0.0,0.0,30000000.0
Interest Received Cfi,,4820000000.0,8690000000.0
Dividends Received Cfi,,60000000.0,40000000.0
Net Investment Purchase And Sale,-66870000000.0,-73310000000.0,-22960000000.0
Sale Of Investment,325510000000.0,303720000000.0,304690000000.0
Purchase Of Investment,-392380000000.0,-377030000000.0,-327650000000.0
Net Intangibles Purchase And Sale,-520000000.0,-210000000.0,-280000000.0
Purchase Of Intangibles,-520000000.0,-210000000.0,-280000000.0
Net PPE Purchase And Sale,-7540000000.0,-4450000000.0,-3330000000.0
Sale Of PPE,60000000.0,20000000.0,30000000.0
Purchase Of PPE,-7600000000.0,-4470000000.0,-3360000000.0
Operating Cash Flow,108310000000.0,106480000000.0,113530000000.0
Taxes Refund Paid,-49280000000.0,-38130000000.0,-19800000000.0
Change In Working Capital,-1390000000.0,-2640000000.0,-29030000000.0
Change In Other Current Liabilities,9340000000.0,21260000000.0,-16870000000.0
Change In Other Current Assets,-7260000000.0,-13800000000.0,-11050000000.0
Change In Payable,8050000000.0,900000000.0,490000000.0
Change In Inventory,,40000000.0,-40000000.0
Change In Receivables,-11510000000.0,-11000000000.0,-1600000000.0
Other Non Cash Items,-12560000000.0,-7140000000.0,-10460000000.0
Deferred Tax,40770000000.0,39500000000.0,38690000000.0
Depreciation And Amortization,12660000000.0,12630000000.0,12430000000.0
Depreciation,12660000000.0,12630000000.0,12430000000.0
Gain Loss On Investment Securities,-1300000000.0,-1420000000.0,-180000000.0
Net Foreign Currency Exchange Gain Loss,-270000000.0,20000000.0,60000000.0
Gain Loss On Sale Of PPE,-60000000.0,0.0,-20000000.0
Net Income From Continuing Operations,119550000000.0,113800000000.0,111200000000.0
